48.70;47.79;48.16; 0.91 
48.72;48.14;48.61; 0.58 
48.90;48.39;48.75; 0.51 
48.87;48.37;48.63; 0.50 
48.82;48.24;48.74; 0.58 
49.05;48.64;49.03; 0.41 
49.20;48.94;49.07; 0.26 
49.35;48.86;49.32; 0.49 
49.92;49.50;49.91; 0.42 
50.19;49.87;50.13; 0.32 
50.12;49.20;49.53; 0.92 
49.66;48.90;49.50; 0.76 
49.88;49.43;49.75; 0.45 
50.19;49.73;50.03; 0.46 
50.36;49.26;50.31; 1.10 
50.57;50.09;50.52; 0.48 
50.65;50.30;50.41; 0.35 
50.43;49.21;49.34; 1.22 
49.63;48.98;49.37; 0.65 
50.33;49.61;50.23; 0.72 
50.29;49.20;49.24; 1.09 
50.17;49.43;49.93; 0.74 
49.32;48.08;48.43; 1.24 
48.50;47.64;48.18; 0.86 
48.32;41.55;46.57; 6.77 
46.80;44.28;45.41; 2.52 
47.80;47.31;47.77; 0.49 
48.39;47.20;47.72; 1.19 
48.66;47.90;48.62; 0.76 
48.79;47.73;47.85; 1.06 
